editPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,webLinkTimes,stuck
61.538462,0,0,0,38.461538,0,NO
80,0,0,0,20,0,NO
66.666667,0,0,0,33.333333,0,NO
100,0,0,0,0,0,NO
69.230769,0,0,0,30.769231,0,NO
71.428571,0,0,0,28.571429,0,NO
60,0,0,0,40,0,NO
100,0,0,0,0,0,NO
81.818182,0,0,0,18.181818,0,NO
100,0,0,0,0,0,NO
100,0,0,0,0,0,NO
52.631579,0,0,0,47.368421,0,NO
55.555556,0,0,0,44.444444,0,NO
83.333333,0,0,0,16.666667,0,NO
57.142857,0,28.571429,0,14.285714,0,NO
100,0,0,0,0,0,NO
73.333333,0,0,0,26.666667,0,NO
100,0,0,0,0,0,NO
63.636364,0,0,0,36.363636,0,NO
60,0,0,0,40,0,NO
100,0,0,0,0,0,NO
100,0,0,0,0,0,NO
71.428571,0,0,0,28.571429,0,NO
63.636364,0,0,0,36.363636,0,NO
68.75,0,0,0,31.25,3,NO
70.588235,0,0,11.764706,17.647059,0,NO
85.714286,0,0,0,14.285714,0,NO
66.666667,0,0,0,33.333333,0,NO
71.428571,0,0,0,28.571429,0,NO
76.923077,0,0,0,23.076923,0,NO
90.909091,0,0,9.090909,0,0,NO
70,0,0,20,10,5,NO
73.333333,0,0,26.666667,0,0,NO
65.517241,0,0,20.689655,13.793103,0,NO
88.888889,0,0,0,11.111111,0,NO
88.461538,0,7.692308,0,3.846154,0,NO
50,31.25,6.25,12.5,0,0,NO
72.727273,0,0,9.090909,18.181818,0,NO
58.333333,27.777778,2.777778,11.111111,0,0,NO
56.25,0,0,0,43.75,0,NO
60,0,0,0,40,0,NO
58.823529,0,0,0,41.176471,0,NO
100,0,0,0,0,0,NO
36.363636,43.181818,2.272727,18.181818,0,0,NO
71.428571,0,9.52381,0,19.047619,0,NO
74.193548,0,9.677419,0,16.129032,0,NO
47.058824,29.411765,5.882353,11.764706,5.882353,0,NO
38.709677,29.032258,3.225806,12.903226,16.129032,0,NO
21.276596,57.446809,0,21.276596,0,0,NO
90.47619,0,0,0,9.52381,0,NO
56.25,0,0,0,43.75,0,NO
66.666667,0,0,7.407407,25.925926,0,NO
95,0,0,0,5,0,NO
79.166667,0,0,0,20.833333,0,NO
96,0,0,0,4,0,NO
87.5,0,0,0,12.5,0,NO
46.428571,32.142857,3.571429,7.142857,10.714286,0,NO
48.571429,25.714286,2.857143,5.714286,17.142857,0,NO
27.027027,48.648649,0,16.216216,8.108108,0,NO
35.897436,46.153846,5.128205,10.25641,2.564103,0,NO
0,0,0,0,0,0,NO
49.122807,0,1.754386,17.54386,31.578947,0,NO
58.181818,0,0,32.727273,9.090909,0,NO
27.118644,0,13.559322,57.627119,1.694915,0,NO
89.189189,0,5.405405,0,5.405405,0,NO
100,0,0,0,0,0,NO
100,0,0,0,0,0,NO
100,0,0,0,0,8,NO
70,0,10,20,0,2,NO
61.111111,0,5.555556,22.222222,11.111111,0,NO
71.428571,0,14.285714,0,14.285714,0,NO
100,0,0,0,0,0,NO
83.333333,0,16.666667,0,0,0,NO
83.333333,0,16.666667,0,0,0,NO
53.846154,0,15.384615,0,30.769231,0,NO
50,0,25,0,25,0,NO
61.904762,0,9.52381,19.047619,9.52381,0,NO
60,0,0,13.333333,26.666667,4,NO
68.421053,0,0,21.052632,10.526316,0,NO
100,0,0,0,0,0,NO
78.947368,0,10.526316,0,10.526316,0,NO
65,0,5,0,30,0,NO
100,0,0,0,0,0,NO
100,0,0,0,0,0,NO
50,0,0,0,50,0,NO
100,0,0,0,0,0,NO
60,0,0,0,40,0,NO
100,0,0,0,0,0,NO
100,0,0,0,0,0,NO
84.615385,0,0,0,15.384615,0,NO
60,0,0,0,40,0,NO
81.818182,0,0,18.181818,0,0,NO
81.818182,0,0,18.181818,0,4,NO
77.777778,0,0,22.222222,0,0,NO
50,0,16.666667,16.666667,16.666667,0,NO
100,0,0,0,0,0,NO
48.888889,15.555556,4.444444,17.777778,13.333333,0,NO
23.913043,36.956522,2.173913,21.73913,15.217391,0,NO
36.585366,19.512195,0,14.634146,29.268293,0,NO
20.833333,41.666667,0,18.75,18.75,0,NO
32.352941,47.058824,0,20.588235,0,0,NO
73.333333,0,0,0,26.666667,0,NO
80,0,0,0,20,0,NO
91.666667,0,0,8.333333,0,0,NO
39.473684,42.105263,10.526316,5.263158,2.631579,0,NO
33.333333,45.833333,0,16.666667,4.166667,1,NO
27.906977,25.581395,4.651163,37.209302,4.651163,0,NO
69.565217,0,0,17.391304,13.043478,0,NO
78.571429,0,0,0,21.428571,0,NO
81.818182,0,0,0,18.181818,0,NO
52.941176,0,0,47.058824,0,0,NO
38.235294,26.470588,0,23.529412,11.764706,0,NO
47.222222,25,5.555556,8.333333,13.888889,0,NO
32.653061,18.367347,0,44.897959,4.081633,0,NO
17.307692,73.076923,0,3.846154,5.769231,0,NO
24.528302,52.830189,0,3.773585,18.867925,0,NO
0,96.610169,0,3.389831,0,0,NO
13.72549,62.745098,3.921569,19.607843,0,0,NO
32.692308,0,1.923077,65.384615,0,4,NO
69.230769,0,0,15.384615,15.384615,0,NO
80,0,0,0,20,0,NO
93.939394,0,0,0,6.060606,0,NO
85.714286,0,0,0,14.285714,0,NO
82.352941,0,5.882353,7.843137,3.921569,0,NO
62.962963,0,7.407407,0,29.62963,0,NO
92.682927,0,2.439024,0,4.878049,6,NO
68.75,0,0,18.75,12.5,0,NO
75,0,2.272727,9.090909,13.636364,0,NO
85,0,2.5,0,12.5,0,NO
85.714286,0,0,0,14.285714,0,NO
72.727273,0,3.030303,6.060606,18.181818,0,NO
62.5,22.5,2.5,5,7.5,0,NO
75,0,0,0,25,3,NO
65.217391,0,0,8.695652,26.086957,0,NO
83.333333,0,0,6.666667,10,0,NO
80.952381,0,0,0,19.047619,0,NO
73.684211,0,0,0,26.315789,0,NO
62.264151,16.981132,5.660377,11.320755,3.773585,0,NO
75.757576,0,3.030303,3.030303,18.181818,3,NO
73.684211,0,0,5.263158,21.052632,0,NO
69.230769,0,0,0,30.769231,0,NO
77.777778,0,22.222222,0,0,0,NO
71.428571,0,0,0,28.571429,0,NO
90,0,0,0,10,0,NO
66.666667,0,0,8.333333,25,0,NO
82.352941,0,0,0,17.647059,0,NO
81.818182,0,0,9.090909,9.090909,0,NO
82.222222,0,0,4.444444,13.333333,0,NO
44,34,0,18,4,0,NO
76.315789,2.631579,0,7.894737,13.157895,0,NO
83.333333,0,0,0,16.666667,0,NO
83.333333,0,0,0,16.666667,0,NO
79.310345,0,0,0,20.689655,0,NO
90.47619,0,0,2.380952,7.142857,0,NO
78.125,0,0,3.125,18.75,0,NO
83.870968,0,3.225806,0,12.903226,0,NO
75,0,0,7.142857,17.857143,3,NO
66.666667,0,4.166667,20.833333,8.333333,0,NO
76.190476,0,0,9.52381,14.285714,0,NO
67.346939,0,0,8.163265,24.489796,0,NO
90.697674,0,0,0,9.302326,0,NO
83.333333,0,0,0,16.666667,0,NO
74.193548,0,0,19.354839,6.451613,0,NO
77.777778,0,2.777778,0,19.444444,0,NO
57.142857,12.244898,0,16.326531,14.285714,0,NO
50.943396,22.641509,3.773585,18.867925,3.773585,0,NO
54.761905,21.428571,0,4.761905,19.047619,0,NO
76.923077,0,0,5.128205,17.948718,0,NO
72.340426,0,0,4.255319,23.404255,0,NO
42.222222,35.555556,2.222222,17.777778,2.222222,0,NO
68.571429,5.714286,0,11.428571,14.285714,3,NO
54.545455,21.212121,0,18.181818,6.060606,0,NO
56.818182,25,0,4.545455,13.636364,0,NO
85.294118,0,0,0,14.705882,0,NO
67.741935,0,0,12.903226,19.354839,0,NO
70.454545,15.909091,0,4.545455,9.090909,5,NO
39.622642,20.754717,1.886792,22.641509,15.09434,10,NO
64.102564,0,0,15.384615,20.512821,0,NO
64,0,0,8,28,0,NO
79.411765,0,0,0,20.588235,0,NO
83.333333,0,0,0,16.666667,0,NO
76,0,0,8,16,0,NO
66.666667,0,0,0,33.333333,0,NO
81.25,0,0,0,18.75,0,NO
50,23.913043,4.347826,8.695652,13.043478,0,NO
49.019608,31.372549,1.960784,9.803922,7.843137,0,NO
66.666667,14.583333,0,10.416667,8.333333,0,NO
57.142857,18.367347,0,12.244898,12.244898,5,NO
52.631579,23.684211,0,15.789474,7.894737,0,NO
86.666667,0,0,0,13.333333,0,NO
72.222222,0,0,0,27.777778,0,NO
83.333333,0,0,0,16.666667,0,NO
75,0,0,0,25,0,NO
92.682927,0,0,0,7.317073,0,NO
72.413793,0,0,0,27.586207,0,NO
60.784314,17.647059,1.960784,3.921569,15.686275,0,NO
71.428571,0,0,5.714286,22.857143,3,NO
78.04878,0,7.317073,4.878049,9.756098,0,NO
68.75,0,0,6.25,25,0,NO
79.310345,0,0,6.896552,13.793103,0,NO
67.567568,0,0,0,32.432432,0,NO
55.813953,20.930233,0,9.302326,13.953488,0,NO
21.568627,58.823529,0,15.686275,3.921569,0,NO
88.888889,0,0,0,11.111111,0,NO
93.548387,0,0,0,6.451613,0,NO
97.674419,0,0,0,2.325581,0,NO
63.636364,6.060606,0,6.060606,24.242424,0,NO
63.043478,15.217391,0,8.695652,13.043478,0,NO
73.684211,0,0,0,26.315789,0,NO
81.818182,0,0,0,18.181818,0,NO
100,0,0,0,0,0,NO
90.47619,0,0,0,9.52381,0,NO
84.615385,0,0,0,15.384615,0,NO
75.609756,0,0,0,24.390244,0,NO
88.235294,0,0,0,11.764706,0,NO
60.97561,21.95122,0,9.756098,7.317073,0,NO
94.117647,0,0,0,5.882353,0,NO
81.25,0,0,0,18.75,0,NO
55.813953,20.930233,0,18.604651,4.651163,0,NO
0,0,0,0,0,1,NO
24.444444,0,4.444444,62.222222,8.888889,0,NO
57.142857,0,2.857143,17.142857,22.857143,0,NO
76,0,0,0,24,0,NO
50,0,0,0,50,0,NO
90.909091,0,0,0,9.090909,0,NO
66.666667,0,0,0,33.333333,0,NO
46.428571,25,0,14.285714,14.285714,7,NO
0,0,0,100,0,0,NO
0,60,0,40,0,0,NO
0,33.333333,0,66.666667,0,0,NO
0,0,0,0,0,0,NO
35.294118,44.117647,2.941176,5.882353,11.764706,0,NO
50,28.571429,0,9.52381,11.904762,3,NO
41.666667,19.444444,0,16.666667,22.222222,0,NO
78.947368,0,0,10.526316,10.526316,2,NO
48.780488,36.585366,0,9.756098,4.878049,5,NO
64.285714,0,0,21.428571,14.285714,0,NO
69.69697,0,0,0,30.30303,0,NO
47.826087,34.782609,0,8.695652,8.695652,3,NO
41.666667,27.083333,0,8.333333,22.916667,0,NO
55.882353,17.647059,0,5.882353,20.588235,0,NO
80,0,0,0,20,0,NO
45.454545,20.454545,0,18.181818,15.909091,0,NO
51.428571,25.714286,0,5.714286,17.142857,4,NO
47.368421,0,0,31.578947,21.052632,0,NO
78.571429,0,0,0,21.428571,0,NO
63.636364,12.121212,0,0,24.242424,0,NO
13.72549,74.509804,0,7.843137,3.921569,0,NO
84.615385,0,0,0,15.384615,0,NO
76.470588,0,0,0,23.529412,0,NO
92.307692,0,0,0,7.692308,0,NO
71.428571,0,0,0,28.571429,0,NO
48.648649,18.918919,0,5.405405,27.027027,0,NO
80,0,0,0,20,0,NO
50,18.421053,0,5.263158,26.315789,0,NO
86.956522,0,0,0,13.043478,0,NO
50,30.952381,0,4.761905,14.285714,0,NO
51.515152,27.272727,0,12.121212,9.090909,0,NO
85.185185,0,0,0,14.814815,0,NO
69.565217,0,0,0,30.434783,0,NO
38.095238,42.857143,0,9.52381,9.52381,0,NO
79.166667,0,0,0,20.833333,0,NO
68.965517,0,0,0,31.034483,0,NO
86.363636,0,0,0,13.636364,0,NO
51.282051,17.948718,0,5.128205,25.641026,0,NO
60.606061,15.151515,0,0,24.242424,0,NO
66.666667,4.444444,0,4.444444,24.444444,0,NO
70,0,0,0,30,0,NO
80.555556,0,0,0,19.444444,0,NO
73.076923,0,0,0,26.923077,0,NO
51.612903,22.580645,0,6.451613,19.354839,0,NO
0,0,0,0,0,0,NO
46.551724,0,1.724138,31.034483,20.689655,0,NO
22.916667,0,4.166667,72.916667,0,64,NO
0,0,0,0,0,0,NO
67.391304,0,2.173913,21.73913,8.695652,0,NO
57.692308,0,3.846154,15.384615,23.076923,0,NO
87.878788,0,3.030303,0,9.090909,0,NO
77.142857,0,0,5.714286,17.142857,0,NO
59.459459,32.432432,5.405405,0,2.702703,0,NO
65,17.5,0,10,7.5,0,NO
62.162162,0,8.108108,16.216216,13.513514,0,NO
76.470588,0,0,5.882353,17.647059,0,NO
82.051282,0,10.25641,0,7.692308,0,NO
90.47619,0,0,0,9.52381,0,NO
67.567568,0,10.810811,5.405405,16.216216,0,NO
87.096774,0,0,0,12.903226,0,NO
50,20.454545,9.090909,18.181818,2.272727,0,NO
55,22.5,0,12.5,10,0,NO
64.583333,14.583333,8.333333,8.333333,4.166667,0,NO
44.186047,25.581395,2.325581,16.27907,11.627907,0,NO
68.181818,20.454545,2.272727,4.545455,4.545455,0,NO
33.333333,40,0,26.666667,0,1,NO
71.428571,0,0,14.285714,14.285714,0,NO
62.068966,0,10.344828,13.793103,13.793103,0,NO
68.965517,0,0,13.793103,17.241379,0,NO
92.592593,0,0,0,7.407407,0,NO
